Team,Season,League,Games Played,Home Wins,Home Draws,Home Losses,Home Goals Scored,Home Goals Conceded,Away Wins,Away Draws,Away Losses,Away Goals Scored,Away Goals Conceded,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Goal Difference
Norwich,2020/2021,Championship,46,14,6,3,39,15,15,4,4,36,21,29,10,7,75,36,97,39
Watford,2020/2021,Championship,46,19,2,2,44,12,8,8,7,19,18,27,10,9,63,30,91,33
Brentford,2020/2021,Championship,46,12,9,2,39,20,12,6,5,40,22,24,15,7,79,42,87,37
Man City,2020/2021,Premier League,38,13,2,4,43,17,14,3,2,40,15,27,5,6,83,32,86,51
Swansea,2020/2021,Championship,46,12,6,5,27,16,11,5,7,29,23,23,11,12,56,39,80,17
Barnsley,2020/2021,Championship,46,12,6,5,30,22,11,3,9,28,28,23,9,14,58,50,78,8
Bournemouth,2020/2021,Championship,46,13,3,7,40,24,9,8,6,33,22,22,11,13,73,46,77,27
Man United,2020/2021,Premier League,38,9,4,6,38,28,12,7,0,35,16,21,11,6,73,44,74,29
Reading,2020/2021,Championship,46,12,4,7,37,27,7,9,7,25,27,19,13,14,62,54,70,8
Liverpool,2020/2021,Premier League,38,10,3,6,29,20,10,6,3,39,22,20,9,9,68,42,69,26
Cardiff,2020/2021,Championship,46,8,6,9,37,26,10,8,5,29,23,18,14,14,66,49,68,17
QPR,2020/2021,Championship,46,11,4,8,32,27,8,7,8,25,28,19,11,16,57,55,68,2
Chelsea,2020/2021,Premier League,38,9,6,4,31,18,10,4,5,27,18,19,10,9,58,36,67,22
Leicester,2020/2021,Premier League,38,9,1,9,34,30,11,5,3,34,20,20,6,12,68,50,66,18
West Ham,2020/2021,Premier League,38,10,4,5,32,22,9,4,6,30,25,19,8,11,62,47,65,15
Middlesbrough,2020/2021,Championship,46,11,4,8,30,25,7,6,10,25,28,18,10,18,55,53,64,2
Tottenham,2020/2021,Premier League,38,10,3,6,35,20,8,5,6,33,25,18,8,12,68,45,62,23
Luton,2020/2021,Championship,46,8,9,6,25,23,9,2,12,16,29,17,11,18,41,52,62,-11
Millwall,2020/2021,Championship,46,7,10,6,24,24,8,7,8,23,28,15,17,14,47,52,62,-5
Arsenal,2020/2021,Premier League,38,8,4,7,24,21,10,3,6,31,18,18,7,13,55,39,61,16
Preston,2020/2021,Championship,46,7,5,11,21,24,11,2,10,28,32,18,7,21,49,56,61,-7
Stoke,2020/2021,Championship,46,9,5,9,29,28,6,10,7,21,24,15,15,16,50,52,60,-2
Everton,2020/2021,Premier League,38,6,4,9,24,28,11,4,4,23,20,17,8,13,47,48,59,-1
Leeds,2020/2021,Premier League,38,8,5,6,28,21,10,0,9,34,33,18,5,15,62,54,59,8
Blackburn,2020/2021,Championship,46,9,7,7,37,28,6,5,12,28,26,15,12,19,65,54,57,11
Aston Villa,2020/2021,Premier League,38,7,4,8,29,27,9,3,7,26,19,16,7,15,55,46,55,9
Coventry,2020/2021,Championship,46,10,7,6,30,22,4,6,13,19,39,14,13,19,49,61,55,-12
Nott'm Forest,2020/2021,Championship,46,6,8,9,21,24,6,8,9,16,21,12,16,18,37,45,52,-8
Birmingham,2020/2021,Championship,46,6,4,13,18,37,7,9,7,19,24,13,13,20,37,61,52,-24
Bristol City,2020/2021,Championship,46,7,3,13,18,30,8,3,12,28,38,15,6,25,46,68,51,-22
Huddersfield,2020/2021,Championship,46,8,7,8,28,23,4,6,13,22,48,12,13,21,50,71,49,-21
Sheffield Weds,2020/2021,Championship,46,8,8,7,22,17,4,3,16,18,44,12,11,23,40,61,47,-21
Newcastle,2020/2021,Premier League,38,6,5,8,26,33,6,4,9,20,29,12,9,17,46,62,45,-16
Wolves,2020/2021,Premier League,38,7,4,8,21,25,5,5,9,15,27,12,9,17,36,52,45,-16
Crystal Palace,2020/2021,Premier League,38,6,5,8,20,32,6,3,10,21,34,12,8,18,41,66,44,-25
Derby,2020/2021,Championship,46,6,7,10,20,26,5,4,14,16,32,11,11,24,36,58,44,-22
Southampton,2020/2021,Premier League,38,8,3,8,28,25,4,4,11,19,43,12,7,19,47,68,43,-21
Wycombe,2020/2021,Championship,46,7,5,11,17,28,4,5,14,22,41,11,10,25,39,69,43,-30
Rotherham,2020/2021,Championship,46,5,4,14,26,35,6,5,12,18,25,11,9,26,44,60,42,-16
Brighton,2020/2021,Premier League,38,4,9,6,22,22,5,5,9,18,24,9,14,15,40,46,41,-6
Burnley,2020/2021,Premier League,38,4,6,9,14,27,6,3,10,19,28,10,9,19,33,55,39,-22
Fulham,2020/2021,Premier League,38,2,4,13,9,28,3,9,7,18,25,5,13,20,27,53,28,-26
West Brom,2020/2021,Premier League,38,3,6,10,15,39,2,5,12,20,37,5,11,22,35,76,26,-41
Sheffield United,2020/2021,Premier League,38,5,1,13,12,27,2,1,16,8,36,7,2,29,20,63,23,-43
Man City,2021/2022,Premier League,38,15,2,2,58,15,14,4,1,41,11,29,6,3,99,26,93,73
Liverpool,2021/2022,Premier League,38,15,4,0,49,9,13,4,2,45,17,28,8,2,94,26,92,68
Fulham,2021/2022,Championship,46,14,4,5,56,20,13,5,5,50,23,27,9,10,106,43,90,63
Bournemouth,2021/2022,Championship,46,13,7,3,41,21,12,6,5,33,18,25,13,8,74,39,88,35
Huddersfield,2021/2022,Championship,47,13,6,5,35,24,10,7,6,29,24,23,13,11,64,48,82,16
Nott'm Forest,2021/2022,Championship,46,13,4,6,43,22,10,7,6,30,18,23,11,12,73,40,80,33
Luton,2021/2022,Championship,47,12,8,4,37,22,9,5,9,26,33,21,13,13,63,55,76,8
Sheffield United,2021/2022,Championship,46,13,5,5,38,15,8,7,8,25,30,21,12,13,63,45,75,18
Chelsea,2021/2022,Premier League,38,9,7,3,37,22,12,4,3,39,11,21,11,6,76,33,74,43
Blackburn,2021/2022,Championship,47,13,5,6,37,26,7,7,9,23,24,20,12,15,60,50,72,10
Millwall,2021/2022,Championship,47,14,6,4,34,16,5,9,9,21,29,19,15,13,55,45,72,10
Tottenham,2021/2022,Premier League,38,13,1,5,38,19,9,4,6,31,21,22,5,11,69,40,71,29
