Team,Season,League,Games Played,Home Wins,Home Draws,Home Losses,Home Goals Scored,Home Goals Conceded,Away Wins,Away Draws,Away Losses,Away Goals Scored,Away Goals Conceded,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Goal Difference,League Position,Promoted,Relegated,prev_season_points,prev_season_league,prev_season_position,prev_season_gd,promoted_from_championship
Crystal Palace,2022/2023,Premier League,38,7,7,5,21,23,4,5,10,19,26,11,12,15,40,49,45,-9,11.0,0,0,48.0,Premier League,12.0,4.0,False
Chelsea,2022/2023,Premier League,38,6,7,6,20,19,5,4,10,18,28,11,11,16,38,47,44,-9,12.0,0,0,74.0,Premier League,3.0,43.0,False
Wigan,2022/2023,Championship,45,5,6,11,17,35,5,8,10,21,30,10,14,21,38,65,44,-27,23.0,0,0,1.0,Championship,25.0,0.0,False
Wolves,2022/2023,Premier League,38,9,3,7,19,20,2,5,12,12,38,11,8,19,31,58,41,-27,13.0,0,0,51.0,Premier League,9.0,-5.0,False
Blackpool,2022/2023,Championship,45,5,6,11,27,34,5,5,13,20,38,10,11,24,47,72,41,-25,24.0,0,0,63.0,Championship,14.0,-3.0,False
West Ham,2022/2023,Premier League,38,8,4,7,26,24,3,3,13,16,31,11,7,20,42,55,40,-13,14.0,0,0,56.0,Premier League,7.0,9.0,False
Bournemouth,2022/2023,Premier League,38,6,4,9,20,28,5,2,12,17,43,11,6,21,37,71,39,-34,15.0,1,0,88.0,Championship,2.0,35.0,True
Nott'm Forest,2022/2023,Premier League,38,8,6,5,27,24,1,5,13,11,44,9,11,18,38,68,38,-30,16.0,0,0,80.0,Championship,4.0,33.0,True
Everton,2022/2023,Premier League,38,6,3,10,16,27,2,9,8,18,30,8,12,18,34,57,36,-23,17.0,0,0,39.0,Premier League,16.0,-23.0,False
Leicester,2022/2023,Premier League,38,5,4,10,23,27,4,3,12,28,41,9,7,22,51,68,34,-17,18.0,0,0,52.0,Premier League,8.0,3.0,False
Leeds,2022/2023,Premier League,38,5,7,7,26,37,2,3,14,22,41,7,10,21,48,78,31,-30,19.0,0,0,38.0,Premier League,17.0,-37.0,False
Southampton,2022/2023,Premier League,38,2,5,12,19,37,4,2,13,17,36,6,7,25,36,73,25,-37,20.0,0,0,40.0,Premier League,15.0,-24.0,False
Leicester,2023/2024,Championship,46,17,1,5,47,18,14,3,6,42,23,31,4,11,89,41,97,48,1.0,0,1,34.0,Premier League,18.0,-17.0,False
Ipswich,2023/2024,Championship,46,16,6,1,59,32,12,6,5,33,25,28,12,6,92,57,96,35,2.0,0,0,0.0,N/A,0.0,0.0,False
Man City,2023/2024,Premier League,38,14,5,0,51,16,14,2,3,45,18,28,7,3,96,34,91,62,1.0,0,0,89.0,Premier League,1.0,61.0,False
Leeds,2023/2024,Championship,46,16,5,2,45,16,11,4,8,36,27,27,9,10,81,43,90,38,3.0,0,1,31.0,Premier League,19.0,-30.0,False
Arsenal,2023/2024,Premier League,38,15,2,2,48,16,13,3,3,43,13,28,5,5,91,29,89,62,2.0,0,0,84.0,Premier League,2.0,45.0,False
Southampton,2023/2024,Championship,46,15,3,5,54,29,11,6,6,33,34,26,9,11,87,63,87,24,4.0,0,1,25.0,Premier League,20.0,-37.0,False
Liverpool,2023/2024,Premier League,38,15,3,1,49,17,9,7,3,37,24,24,10,4,86,41,82,45,3.0,0,0,67.0,Premier League,5.0,28.0,False
West Brom,2023/2024,Championship,46,15,4,4,38,17,6,8,9,32,30,21,12,13,70,47,75,23,5.0,0,0,65.0,Championship,8.0,6.0,False
Norwich,2023/2024,Championship,46,15,4,4,43,22,6,6,11,36,42,21,10,15,79,64,73,15,6.0,0,0,62.0,Championship,12.0,4.0,False
Hull,2023/2024,Championship,46,8,9,6,35,27,11,4,8,33,33,19,13,14,68,60,70,8,7.0,0,0,55.0,Championship,15.0,-11.0,False
Middlesbrough,2023/2024,Championship,46,10,4,9,30,26,10,5,8,41,36,20,9,17,71,62,69,9,8.0,0,0,74.0,Championship,4.0,28.0,False
Aston Villa,2023/2024,Premier League,38,12,4,3,48,28,8,4,7,28,33,20,8,10,76,61,68,15,4.0,0,0,61.0,Premier League,7.0,5.0,False
Tottenham,2023/2024,Premier League,38,13,0,6,38,27,7,6,6,36,34,20,6,12,74,61,66,13,5.0,0,0,60.0,Premier League,8.0,7.0,False
Coventry,2023/2024,Championship,46,9,8,6,36,27,8,5,10,34,32,17,13,16,70,59,64,11,9.0,0,0,69.0,Championship,5.0,12.0,False
Chelsea,2023/2024,Premier League,38,11,4,4,44,26,7,5,7,33,37,18,9,11,77,63,63,14,6.0,0,0,44.0,Premier League,12.0,-9.0,False
Preston,2023/2024,Championship,46,11,4,8,35,36,7,5,11,21,31,18,9,19,56,67,63,-11,10.0,0,0,62.0,Championship,12.0,-14.0,False
Bristol City,2023/2024,Championship,46,11,4,8,31,21,6,7,10,22,30,17,11,18,53,51,62,2,11.0,0,0,59.0,Championship,14.0,0.0,False
Cardiff,2023/2024,Championship,46,10,3,10,27,32,9,2,12,26,38,19,5,22,53,70,62,-17,11.0,0,0,46.0,Championship,22.0,-18.0,False
Man United,2023/2024,Premier League,38,10,3,6,31,28,8,3,8,26,30,18,6,14,57,58,60,-1,7.0,0,0,75.0,Premier League,3.0,15.0,False
Newcastle,2023/2024,Premier League,38,12,4,3,49,22,6,2,11,36,40,18,6,14,85,62,60,23,7.0,0,0,71.0,Premier League,4.0,35.0,False
Millwall,2023/2024,Championship,46,9,5,9,22,29,7,6,10,23,26,16,11,19,45,55,59,-10,13.0,0,0,65.0,Championship,8.0,5.0,False
Swansea,2023/2024,Championship,46,8,5,10,26,28,7,7,9,33,37,15,12,19,59,65,57,-6,14.0,0,0,65.0,Championship,8.0,4.0,False
Watford,2023/2024,Championship,46,6,9,8,32,28,7,8,8,29,33,13,17,16,61,61,56,0,15.0,0,0,63.0,Championship,11.0,3.0,False
QPR,2023/2024,Championship,46,7,6,10,28,32,8,5,10,19,26,15,11,20,47,58,56,-11,15.0,0,0,50.0,Championship,19.0,-26.0,False
Stoke,2023/2024,Championship,46,8,6,9,24,27,7,5,11,25,33,15,11,20,49,60,56,-11,15.0,0,0,53.0,Championship,16.0,3.0,False
Sunderland,2023/2024,Championship,46,10,2,11,30,30,6,6,11,22,24,16,8,22,52,54,56,-2,15.0,0,0,68.0,Championship,6.0,13.0,False
Blackburn,2023/2024,Championship,46,6,7,10,27,34,8,4,11,33,40,14,11,21,60,74,53,-14,19.0,0,0,66.0,Championship,7.0,-3.0,False
Sheffield Weds,2023/2024,Championship,46,8,7,8,27,27,7,1,15,17,41,15,8,23,44,68,53,-24,19.0,0,0,47.0,Championship,21.0,-21.0,False
West Ham,2023/2024,Premier League,38,7,8,4,31,28,7,2,10,29,46,14,10,14,60,74,52,-14,9.0,0,0,40.0,Premier League,14.0,-13.0,False
Plymouth,2023/2024,Championship,46,10,5,8,41,35,3,7,13,18,35,13,12,21,59,70,51,-11,21.0,0,0,0.0,N/A,0.0,0.0,False
Birmingham,2023/2024,Championship,46,10,6,7,31,25,3,5,15,19,40,13,11,22,50,65,50,-15,22.0,0,0,52.0,Championship,18.0,-11.0,False
Crystal Palace,2023/2024,Premier League,38,8,4,7,37,26,5,6,8,20,32,13,10,15,57,58,49,-1,10.0,0,0,45.0,Premier League,11.0,-9.0,False
Everton,2023/2024,Premier League,38,8,4,7,22,18,5,5,9,18,33,13,9,16,40,51,48,-11,11.0,0,0,36.0,Premier League,17.0,-23.0,False
Brighton,2023/2024,Premier League,38,8,6,5,30,27,4,6,9,25,35,12,12,14,55,62,48,-7,11.0,0,0,62.0,Premier League,6.0,19.0,False
Bournemouth,2023/2024,Premier League,38,7,6,6,27,28,6,3,10,27,39,13,9,16,54,67,48,-13,11.0,0,0,39.0,Premier League,15.0,-34.0,False
Fulham,2023/2024,Premier League,38,9,2,8,31,24,4,6,9,24,37,13,8,17,55,61,47,-6,14.0,0,0,52.0,Premier League,10.0,2.0,False
Wolves,2023/2024,Premier League,38,8,3,8,26,30,5,4,10,24,35,13,7,18,50,65,46,-15,15.0,0,0,41.0,Premier League,13.0,-27.0,False
Huddersfield,2023/2024,Championship,46,6,8,9,26,36,3,10,10,22,41,9,18,19,48,77,45,-29,23.0,0,0,53.0,Championship,16.0,-14.0,False
Brentford,2023/2024,Premier League,38,5,7,7,29,34,5,2,12,27,31,10,9,19,56,65,39,-9,16.0,0,0,59.0,Premier League,9.0,12.0,False
Nott'm Forest,2023/2024,Premier League,38,5,5,9,27,30,4,4,11,22,37,9,9,20,49,67,36,-18,17.0,0,0,38.0,Premier League,16.0,-30.0,False
Rotherham,2023/2024,Championship,46,5,8,10,24,28,0,4,19,13,61,5,12,29,37,89,27,-52,24.0,0,0,49.0,Championship,21.0,-11.0,False
Luton,2023/2024,Premier League,38,4,4,11,28,37,2,4,13,24,48,6,8,24,52,85,26,-33,18.0,1,0,79.0,Championship,3.0,18.0,True
Burnley,2023/2024,Premier League,38,2,4,13,19,43,3,5,11,22,35,5,9,24,41,78,24,-37,19.0,1,0,98.0,Championship,1.0,51.0,True
Sheffield United,2023/2024,Premier League,38,2,4,13,19,57,1,3,15,16,47,3,7,28,35,104,16,-69,20.0,1,0,91.0,Championship,2.0,34.0,True
Burnley,2024/2025,Championship,46,14,9,0,35,8,14,7,2,34,8,28,16,2,69,16,100,53,1.0,0,1,24.0,Premier League,19.0,-37.0,False
Leeds,2024/2025,Championship,46,18,4,1,61,12,11,9,3,34,18,29,13,4,95,30,100,65,1.0,1,0,90.0,Championship,3.0,38.0,False
Sheffield United,2024/2025,Championship,46,15,4,4,33,17,13,4,6,30,19,28,8,10,63,36,92,27,3.0,0,1,16.0,Premier League,20.0,-69.0,False
Liverpool,2024/2025,Premier League,38,14,4,1,42,16,11,5,3,44,25,25,9,4,86,41,84,45,1.0,0,0,82.0,Premier League,3.0,45.0,False
Sunderland,2024/2025,Championship,46,12,7,4,32,18,9,6,8,26,26,21,13,12,58,44,76,14,4.0,0,0,56.0,Championship,15.0,-2.0,False
Arsenal,2024/2025,Premier League,38,11,6,2,35,17,9,8,2,34,17,20,14,4,69,34,74,35,2.0,0,0,89.0,Premier League,2.0,62.0,False
Man City,2024/2025,Premier League,38,13,3,3,43,23,8,5,6,29,21,21,8,9,72,44,71,28,3.0,0,0,91.0,Premier League,1.0,62.0,False
Chelsea,2024/2025,Premier League,38,12,5,2,35,18,8,4,7,29,25,20,9,9,64,43,69,21,4.0,0,0,63.0,Premier League,6.0,14.0,False
Coventry,2024/2025,Championship,46,14,3,6,40,24,6,6,11,24,34,20,9,17,64,58,69,6,5.0,0,0,64.0,Championship,9.0,11.0,False
