Team,Season,League,Games Played,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Goal Difference,Form Points Last 10,League Position,prev_season_points,prev_season_gd,prev_season_league,prev_season_form,prev_avg_points,promoted_from_championship
Nott'm Forest,2021/2022,Championship,46,23,11,12,73,40,80,33,22,4.0,0.0,0.0,0,0.0,0.0,0
Fulham,2021/2022,Championship,46,27,9,10,106,43,90,63,13,1.0,0.0,0.0,0,0.0,0.0,0
Luton,2021/2022,Championship,47,21,13,13,63,55,76,8,16,5.0,0.0,0.0,0,0.0,0.0,0
West Brom,2021/2022,Championship,47,18,14,15,53,46,68,7,15,10.0,0.0,0.0,0,0.0,0.0,0
Blackburn,2021/2022,Championship,47,20,12,15,60,50,72,10,14,7.0,0.0,0.0,0,0.0,0.0,0
Bristol City,2021/2022,Championship,47,15,10,22,63,79,55,-16,12,18.0,0.0,0.0,0,0.0,0.0,0
Cardiff,2021/2022,Championship,47,16,8,23,51,68,56,-17,13,17.0,0.0,0.0,0,0.0,0.0,0
Derby,2021/2022,Championship,46,14,13,19,45,53,55,-8,10,18.0,0.0,0.0,0,0.0,0.0,0
Preston,2021/2022,Championship,47,16,17,14,52,56,65,-4,14,12.0,0.0,0.0,0,0.0,0.0,0
QPR,2021/2022,Championship,47,19,9,19,60,60,66,0,7,11.0,0.0,0.0,0,0.0,0.0,0
Stoke,2021/2022,Championship,47,17,11,19,57,54,62,3,16,15.0,0.0,0.0,0,0.0,0.0,0
Coventry,2021/2022,Championship,47,17,14,16,61,60,65,1,11,12.0,0.0,0.0,0,0.0,0.0,0
Peterboro,2021/2022,Championship,46,9,10,27,43,87,37,-44,14,23.0,0.0,0.0,0,0.0,0.0,0
Barnsley,2021/2022,Championship,46,6,12,28,33,73,30,-40,5,24.0,0.0,0.0,0,0.0,0.0,0
Birmingham,2021/2022,Championship,47,11,15,21,50,75,48,-25,7,21.0,0.0,0.0,0,0.0,0.0,0
Blackpool,2021/2022,Championship,47,17,12,18,55,58,63,-3,11,14.0,0.0,0.0,0,0.0,0.0,0
Huddersfield,2021/2022,Championship,47,23,13,11,64,48,82,16,19,3.0,0.0,0.0,0,0.0,0.0,0
Hull,2021/2022,Championship,47,15,9,23,43,55,54,-12,16,20.0,0.0,0.0,0,0.0,0.0,0
Middlesbrough,2021/2022,Championship,47,20,11,16,60,51,71,9,12,9.0,0.0,0.0,0,0.0,0.0,0
Millwall,2021/2022,Championship,47,19,15,13,55,45,72,10,15,7.0,0.0,0.0,0,0.0,0.0,0
Reading,2021/2022,Championship,47,13,8,26,54,88,47,-34,11,22.0,0.0,0.0,0,0.0,0.0,0
Swansea,2021/2022,Championship,47,16,14,17,59,69,62,-10,14,15.0,0.0,0.0,0,0.0,0.0,0
Sunderland,2021/2022,Championship,1,0,1,0,1,1,1,0,1,25.0,0.0,0.0,0,0.0,0.0,0
Rotherham,2021/2022,Championship,1,0,1,0,1,1,1,0,1,25.0,0.0,0.0,0,0.0,0.0,0
Wigan,2021/2022,Championship,1,0,1,0,0,0,1,0,1,25.0,0.0,0.0,0,0.0,0.0,0
Brentford,2023/2024,Premier League,38,10,9,19,56,65,39,-9,13,16.0,46.0,-8.0,Premier League,19.0,0.0,0
Man United,2023/2024,Premier League,38,18,6,14,57,58,60,-1,13,7.0,58.0,0.0,Premier League,11.0,0.0,0
Burnley,2023/2024,Premier League,38,5,9,24,41,78,24,-37,10,19.0,38.0,-18.0,Premier League,14.0,0.0,0
Chelsea,2023/2024,Premier League,38,18,9,11,77,63,63,14,23,6.0,74.0,43.0,Premier League,15.0,0.0,0
Everton,2023/2024,Premier League,38,13,9,16,40,51,48,-11,17,11.0,39.0,-23.0,Premier League,14.0,0.0,0
Leicester,2023/2024,Championship,46,31,4,11,89,41,97,48,16,1.0,52.0,3.0,Premier League,15.0,0.0,0
Watford,2023/2024,Championship,46,13,17,16,61,61,56,0,11,15.0,23.0,-43.0,Premier League,4.0,0.0,0
Norwich,2023/2024,Championship,46,21,10,15,79,64,73,15,18,6.0,22.0,-62.0,Premier League,5.0,0.0,0
Newcastle,2023/2024,Premier League,38,18,6,14,85,62,60,23,20,7.0,49.0,-18.0,Premier League,18.0,0.0,0
Tottenham,2023/2024,Premier League,38,20,6,12,74,61,66,13,13,5.0,71.0,29.0,Premier League,23.0,0.0,0
Liverpool,2023/2024,Premier League,38,24,10,4,86,41,82,45,18,3.0,92.0,68.0,Premier League,26.0,0.0,0
Aston Villa,2023/2024,Premier League,38,20,8,10,76,61,68,15,13,4.0,45.0,-2.0,Premier League,9.0,0.0,0
Crystal Palace,2023/2024,Premier League,38,13,10,15,57,58,49,-1,20,10.0,48.0,4.0,Premier League,15.0,0.0,0
Leeds,2023/2024,Championship,46,27,9,10,81,43,90,38,14,3.0,38.0,-37.0,Premier League,15.0,0.0,0
Man City,2023/2024,Premier League,38,28,7,3,96,34,91,62,28,1.0,93.0,73.0,Premier League,24.0,0.0,0
Brighton,2023/2024,Premier League,38,12,12,14,55,62,48,-7,6,11.0,51.0,-2.0,Premier League,18.0,0.0,0
Southampton,2023/2024,Championship,46,26,9,11,87,63,87,24,14,4.0,40.0,-24.0,Premier League,5.0,0.0,0
Wolves,2023/2024,Premier League,38,13,7,18,50,65,46,-15,5,15.0,51.0,-5.0,Premier League,8.0,0.0,0
Arsenal,2023/2024,Premier League,38,28,5,5,91,29,89,62,25,2.0,69.0,13.0,Premier League,15.0,0.0,0
West Ham,2023/2024,Premier League,38,14,10,14,60,74,52,-14,9,9.0,56.0,9.0,Premier League,11.0,0.0,0
Bournemouth,2023/2024,Premier League,38,13,9,16,54,67,48,-13,13,11.0,88.0,35.0,Championship,19.0,0.0,1
Sheffield United,2023/2024,Premier League,38,3,7,28,35,104,16,-69,2,20.0,75.0,18.0,Championship,18.0,0.0,1
Nott'm Forest,2023/2024,Premier League,38,9,9,20,49,67,36,-18,12,17.0,80.0,33.0,Championship,22.0,0.0,1
Fulham,2023/2024,Premier League,38,13,8,17,55,61,47,-6,12,14.0,90.0,63.0,Championship,13.0,0.0,1
Luton,2023/2024,Premier League,38,6,8,24,52,85,26,-33,5,18.0,76.0,8.0,Championship,16.0,0.0,1
Ipswich,2023/2024,Championship,46,28,12,6,92,57,96,35,18,2.0,0.0,0.0,0,0.0,0.0,0
West Brom,2023/2024,Championship,46,21,12,13,70,47,75,23,15,5.0,68.0,7.0,Championship,15.0,0.0,0
Blackburn,2023/2024,Championship,46,14,11,21,60,74,53,-14,13,19.0,72.0,10.0,Championship,14.0,0.0,0
Bristol City,2023/2024,Championship,46,17,11,18,53,51,62,2,18,11.0,55.0,-16.0,Championship,12.0,0.0,0
Cardiff,2023/2024,Championship,46,19,5,22,53,70,62,-17,12,11.0,56.0,-17.0,Championship,13.0,0.0,0
Preston,2023/2024,Championship,46,18,9,19,56,67,63,-11,10,10.0,65.0,-4.0,Championship,14.0,0.0,0
QPR,2023/2024,Championship,46,15,11,20,47,58,56,-11,17,15.0,66.0,0.0,Championship,7.0,0.0,0
Stoke,2023/2024,Championship,46,15,11,20,49,60,56,-11,18,15.0,62.0,3.0,Championship,16.0,0.0,0
Coventry,2023/2024,Championship,46,17,13,16,70,59,64,11,10,9.0,65.0,1.0,Championship,11.0,0.0,0
Birmingham,2023/2024,Championship,46,13,11,22,50,65,50,-15,11,22.0,48.0,-25.0,Championship,7.0,0.0,0
Huddersfield,2023/2024,Championship,46,9,18,19,48,77,45,-29,7,23.0,82.0,16.0,Championship,19.0,0.0,0
Hull,2023/2024,Championship,46,19,13,14,68,60,70,8,13,7.0,54.0,-12.0,Championship,16.0,0.0,0
Middlesbrough,2023/2024,Championship,46,20,9,17,71,62,69,9,19,8.0,71.0,9.0,Championship,12.0,0.0,0
Millwall,2023/2024,Championship,46,16,11,19,45,55,59,-10,19,13.0,72.0,10.0,Championship,15.0,0.0,0
Swansea,2023/2024,Championship,46,15,12,19,59,65,57,-6,14,14.0,62.0,-10.0,Championship,14.0,0.0,0
Sheffield Weds,2023/2024,Championship,46,15,8,23,44,68,53,-24,15,19.0,0.0,0.0,0,0.0,0.0,0
Plymouth,2023/2024,Championship,46,13,12,21,59,70,51,-11,11,21.0,0.0,0.0,0,0.0,0.0,0
Sunderland,2023/2024,Championship,46,16,8,22,52,54,56,-2,9,15.0,1.0,0.0,Championship,1.0,0.0,0
Rotherham,2023/2024,Championship,46,5,12,29,37,89,27,-52,8,24.0,1.0,0.0,Championship,1.0,0.0,0
Brentford,2024/2025,Premier League,38,16,8,14,66,57,56,9,18,9.0,39.0,-9.0,Premier League,13.0,0.0,0
Man United,2024/2025,Premier League,38,11,9,18,44,54,42,-10,8,15.0,60.0,-1.0,Premier League,13.0,0.0,0
Burnley,2024/2025,Championship,46,28,16,2,69,16,100,53,26,1.0,24.0,-37.0,Premier League,10.0,47.333333333333336,0
Chelsea,2024/2025,Premier League,38,20,9,9,64,43,69,21,20,4.0,63.0,14.0,Premier League,23.0,56.666666666666664,0
Everton,2024/2025,Premier League,38,11,15,12,42,44,48,-2,15,13.0,48.0,-11.0,Premier League,17.0,50.333333333333336,0
Leicester,2024/2025,Premier League,38,6,7,25,33,80,25,-47,8,18.0,97.0,48.0,Championship,16.0,55.0,1
Watford,2024/2025,Championship,46,16,9,21,53,61,57,-8,8,13.0,56.0,0.0,Championship,11.0,38.0,0
Norwich,2024/2025,Championship,46,14,15,17,71,68,57,3,8,13.0,73.0,15.0,Championship,18.0,32.333333333333336,0
Newcastle,2024/2025,Premier League,38,20,6,12,68,47,66,21,19,5.0,60.0,23.0,Premier League,20.0,31.333333333333332,0
Tottenham,2024/2025,Premier League,38,11,5,22,64,65,38,-1,4,17.0,66.0,13.0,Premier League,13.0,47.333333333333336,0
Liverpool,2024/2025,Premier League,38,25,9,4,86,41,84,45,17,1.0,82.0,45.0,Premier League,18.0,70.66666666666667,0
Aston Villa,2024/2025,Premier League,38,19,9,10,58,51,66,7,24,5.0,68.0,15.0,Premier League,13.0,69.33333333333333,0
Crystal Palace,2024/2025,Premier League,38,13,14,11,51,51,53,0,14,12.0,49.0,-1.0,Premier League,20.0,61.666666666666664,0
Leeds,2024/2025,Championship,46,29,13,4,95,30,100,65,24,1.0,90.0,38.0,Championship,14.0,43.666666666666664,0
Man City,2024/2025,Premier League,38,21,8,9,72,44,71,28,24,3.0,91.0,62.0,Premier League,28.0,59.666666666666664,0
Brighton,2024/2025,Premier League,38,16,13,9,66,59,61,7,15,8.0,48.0,-7.0,Premier League,6.0,60.666666666666664,0
Southampton,2024/2025,Premier League,38,2,6,30,26,86,12,-60,3,20.0,87.0,24.0,Championship,14.0,61.333333333333336,1
Wolves,2024/2025,Premier League,38,12,6,20,54,69,42,-15,19,15.0,46.0,-15.0,Premier League,5.0,47.333333333333336,0
Arsenal,2024/2025,Premier League,38,20,14,4,69,34,74,35,19,2.0,89.0,62.0,Premier League,25.0,53.333333333333336,0
West Ham,2024/2025,Premier League,38,11,10,17,46,62,43,-16,10,14.0,52.0,-14.0,Premier League,9.0,58.666666666666664,0
Bournemouth,2024/2025,Premier League,38,15,11,12,58,46,56,12,12,9.0,48.0,-13.0,Premier League,13.0,71.0,0
Sheffield United,2024/2025,Championship,46,28,8,10,63,36,92,27,14,3.0,16.0,-69.0,Premier League,2.0,73.0,0
Nott'm Forest,2024/2025,Premier League,38,19,8,11,58,46,65,12,14,7.0,36.0,-18.0,Premier League,12.0,81.0,0
Fulham,2024/2025,Premier League,38,15,9,14,54,54,54,0,12,11.0,47.0,-6.0,Premier League,12.0,81.66666666666667,0
Luton,2024/2025,Championship,46,13,10,23,45,69,49,-24,18,21.0,26.0,-33.0,Premier League,5.0,82.0,0
Ipswich,2024/2025,Premier League,38,4,10,24,36,82,22,-46,5,19.0,96.0,35.0,Championship,18.0,0.0,1
West Brom,2024/2025,Championship,46,15,19,12,57,47,64,10,9,9.0,75.0,23.0,Championship,15.0,0.0,0
Blackburn,2024/2025,Championship,46,19,9,18,53,48,66,5,14,7.0,53.0,-14.0,Championship,13.0,0.0,0
Bristol City,2024/2025,Championship,46,17,17,12,59,55,68,4,15,6.0,62.0,2.0,Championship,18.0,65.0,0
Cardiff,2024/2025,Championship,46,9,17,20,48,73,44,-25,8,24.0,62.0,-17.0,Championship,12.0,61.0,0
Derby,2024/2025,Championship,46,13,11,22,48,56,50,-8,18,19.0,55.0,-8.0,Championship,10.0,0.0,0
Preston,2024/2025,Championship,46,10,20,16,48,59,50,-11,7,19.0,63.0,-11.0,Championship,10.0,0.0,0
QPR,2024/2025,Championship,46,14,14,18,53,63,56,-10,12,15.0,56.0,-11.0,Championship,17.0,0.0,0
Stoke,2024/2025,Championship,46,12,15,19,45,62,51,-17,15,18.0,56.0,-11.0,Championship,18.0,64.33333333333333,0
Coventry,2024/2025,Championship,46,20,9,17,64,58,69,6,13,5.0,64.0,11.0,Championship,10.0,64.33333333333333,0
Hull,2024/2025,Championship,46,12,13,21,44,54,49,-10,12,21.0,70.0,8.0,Championship,13.0,60.333333333333336,0
Middlesbrough,2024/2025,Championship,46,18,10,18,64,56,64,8,14,9.0,69.0,9.0,Championship,19.0,63.333333333333336,0
Millwall,2024/2025,Championship,46,18,12,16,47,49,66,-2,18,7.0,59.0,-10.0,Championship,19.0,65.66666666666667,0
Swansea,2024/2025,Championship,46,17,10,19,51,56,61,-5,17,11.0,57.0,-6.0,Championship,14.0,68.33333333333333,0
Sheffield Weds,2024/2025,Championship,46,15,13,18,60,69,58,-9,10,12.0,53.0,-24.0,Championship,15.0,0.0,0
Plymouth,2024/2025,Championship,46,11,13,22,51,88,46,-37,16,23.0,51.0,-11.0,Championship,11.0,0.0,0
Sunderland,2024/2025,Championship,46,21,13,12,58,44,76,14,8,4.0,56.0,-2.0,Championship,9.0,0.0,0
Oxford,2024/2025,Championship,46,13,14,19,49,65,53,-16,14,17.0,0.0,0.0,0,0.0,0.0,0
Portsmouth,2024/2025,Championship,46,14,12,20,58,71,54,-13,12,16.0,0.0,0.0,0,0.0,0.0,0
Brentford,2020/2021,Championship,46,24,15,7,79,42,87,37,20,3.0,56.0,9.0,Premier League,18.0,0.0,0
